,al_id,u_id,datetime
635,1051,84,2022.06.05
636,106,84,2020.01.08
637,340,84,2022.03.04
638,81,84,2022.06.05
639,72,85,2022.01.11
640,1050,85,2021.10.15
641,257,85,2022.03.04
642,1065,85,2021.09.24
643,162,85,2020.05.04
644,70,85,2021.09.19
645,309,85,2021.02.07
646,72,86,2021.12.03
647,72,87,2022.06.03
648,207,87,2020.07.07
649,208,87,2021.02.09
650,225,87,2020.07.17
651,148,87,2022.06.05
652,200,87,2020.07.17
653,77,87,2021.02.09
654,77,87,2020.03.07
655,162,87,2021.02.09
656,70,87,2021.04.05
657,70,87,2021.02.09
658,81,87,2022.02.17
659,81,87,2022.02.17
660,280,87,2022.02.11
661,280,87,2021.09.07
662,297,87,2021.05.24
663,293,87,2021.05.24
664,220,87,2021.04.05
665,193,87,2021.05.24
666,82,87,2022.05.16
667,113,87,2021.05.06
668,224,87,2020.11.16
669,72,88,2022.04.24
670,72,89,2022.06.16
671,257,89,2022.06.16
672,72,90,2021.10.21
673,153,90,2021.07.24
674,151,90,2021.10.21
675,231,90,2021.10.21
676,72,91,2020.03.16
677,144,91,2020.02.28
678,116,91,2020.02.28
679,257,91,2021.01.17
680,148,91,2020.01.25
681,70,91,2020.03.25
682,72,92,2021.06.22
683,207,92,2021.12.31
684,86,92,2021.12.31
685,197,92,2021.12.24
686,151,92,2022.03.03
687,151,92,2022.03.03
688,151,92,2021.06.22
689,257,92,2021.04.15
690,231,92,2021.06.22
691,199,92,2021.12.24
692,202,92,2022.02.21
693,202,92,2021.08.02
694,202,92,2021.04.15
695,1007,92,2021.08.02
696,72,93,2020.06.15
697,189,93,2020.07.27
698,90,93,2021.07.26
699,89,93,2021.07.26
700,72,94,2021.10.15
701,77,94,2019.12.09
702,1224,94,2022.06.27
703,72,95,2021.12.08
704,194,95,2021.12.08
705,194,95,2021.12.08
706,194,95,2021.12.08
707,194,95,2021.12.08
708,194,95,2021.12.08
709,194,95,2021.12.08
710,194,95,2021.12.08
711,194,95,2021.12.08
712,194,95,2021.12.08
713,194,95,2021.12.08
714,194,95,2021.12.08
715,202,95,2020.12.16
716,202,95,2020.12.16
717,202,95,2020.02.27
718,89,95,2020.03.04
719,330,95,2021.12.08
720,80,95,2021.12.08
721,224,95,2021.12.19
722,72,96,2021.11.30
723,151,96,2021.12.14
724,77,96,2021.08.30
725,222,96,2022.02.11
726,131,96,2021.11.30
727,72,97,2021.02.25
728,304,97,2021.02.25
729,72,98,2022.07.07
730,292,98,2021.04.01
731,1092,98,2022.07.07
732,224,98,2020.12.02
733,72,99,2022.05.04
734,72,100,2020.02.26
735,1217,100,2022.06.28
736,1051,100,2022.01.18
737,1051,100,2021.09.16
738,1051,100,2021.08.10
739,151,100,2020.04.06
740,106,100,2021.08.03
741,257,100,2022.06.26
742,304,100,2022.01.21
743,304,100,2021.09.15
744,303,100,2022.01.21
745,93,100,2022.01.21
746,76,100,2022.01.18
747,76,100,2020.04.30
748,202,100,2021.08.27
749,340,100,2021.08.03
750,77,100,2021.08.11
751,70,100,2022.06.28
752,1166,100,2022.01.18
753,72,101,2022.07.08
754,72,102,2022.07.27
755,207,103,2020.09.15
756,93,103,2020.11.21
757,148,103,2022.03.03
758,200,103,2020.09.15
759,202,103,2022.01.13
760,202,103,2020.09.15
761,95,103,2020.11.21
762,77,103,2021.02.06
763,77,103,2021.02.06
764,77,103,2021.02.06
765,1019,103,2021.12.21
766,90,103,2021.02.06
767,1021,103,2021.12.21
768,89,103,2021.02.06
769,162,103,2020.02.27
770,70,103,2022.01.13
771,70,103,2021.02.06
772,70,103,2021.02.06
773,70,103,2021.02.06
774,70,103,2020.08.19
775,115,103,2021.12.21
776,1012,103,2022.01.30
777,1012,103,2022.01.13
778,1012,103,2022.01.13
779,1012,103,2021.12.21
780,1013,103,2022.01.30
781,1013,103,2022.01.13
782,1014,103,2022.01.13
783,224,103,2020.08.14
784,207,104,2022.04.27
785,207,105,2021.07.20
786,257,105,2021.07.20
787,231,105,2021.07.20
788,148,105,2021.07.20
789,148,105,2021.07.20
790,207,106,2020.12.16
791,66,106,2021.07.21
792,207,107,2022.01.23
793,138,108,2021.08.27
794,1092,108,2022.05.03
795,1094,108,2021.11.01
796,1064,108,2022.03.18
797,309,108,2021.07.14
798,138,109,2020.06.22
799,226,109,2020.09.04
800,147,109,2020.05.29
801,103,109,2020.09.04
802,225,109,2020.05.27
803,257,109,2020.09.10
804,194,109,2020.09.04
805,93,109,2020.07.17
806,231,109,2020.09.04
807,281,109,2020.11.18
808,202,109,2020.09.04
809,95,109,2020.09.11
810,95,109,2020.08.28
811,77,109,2020.04.23
812,162,109,2020.11.09
813,181,109,2021.01.05
814,255,109,2020.09.11
815,70,109,2020.09.11
816,66,109,2020.05.22
817,299,109,2021.01.05
818,115,109,2020.09.10
819,81,109,2020.09.04
820,280,109,2020.11.18
821,190,109,2020.09.10
822,196,109,2020.09.10
823,100,109,2020.10.14
824,222,109,2020.09.04
825,224,109,2020.07.13
826,138,110,2021.05.02
827,116,110,2021.05.02
828,257,110,2021.05.02
829,199,110,2021.11.10
830,281,110,2021.06.18
831,1094,110,2021.12.27
832,196,110,2021.09.29
833,138,111,2021.09.11
834,283,111,2022.04.26
835,77,111,2021.11.06
836,1190,111,2022.04.27
837,1094,111,2021.09.29
838,1094,111,2021.09.29
839,1061,111,2021.11.21
840,190,111,2021.02.22
841,294,111,2021.03.28
842,294,111,2021.02.22
843,293,111,2021.02.22
844,196,111,2021.03.28
845,138,112,2022.03.06
846,138,113,2020.05.18
847,138,114,2021.08.27
848,254,114,2022.06.24
849,254,114,2022.03.06
850,77,114,2022.03.08
851,77,114,2021.08.27
852,67,114,2022.03.06
853,299,114,2022.03.06
854,1214,114,2022.06.24
855,1202,114,2022.03.25
856,1064,114,2022.06.24
857,82,114,2021.08.27
858,138,115,2019.12.27
859,86,116,2020.10.25
860,194,116,2022.03.17
861,89,116,2022.03.17
862,81,116,2022.03.03
863,190,116,2020.05.18
864,82,116,2020.10.25
865,86,117,2021.09.09
866,70,117,2021.09.08
867,81,117,2021.09.09
868,86,118,2022.03.15
869,87,118,2022.03.15
870,194,118,2021.08.24
871,77,118,2021.10.03
872,70,118,2021.12.20
873,70,118,2021.10.19
874,70,118,2021.10.03
875,280,118,2021.10.19
876,280,118,2021.10.09
877,222,118,2021.07.23
878,292,119,2022.07.04
879,153,119,2022.04.27
880,1217,119,2022.04.27
881,1051,119,2022.07.04
882,70,119,2022.07.04
883,219,119,2022.04.27
884,292,120,2021.01.26
885,257,120,2021.02.16
886,194,120,2020.11.11
887,292,121,2021.06.05
888,1051,121,2022.02.08
889,105,121,2021.07.19
890,304,121,2022.02.08
891,231,121,2022.03.19
892,70,121,2022.03.19
893,227,121,2021.01.13
894,1094,121,2022.06.10
895,292,122,2022.02.11
896,199,122,2022.02.10
897,1107,122,2022.03.23
898,1167,122,2022.03.23
899,1167,122,2022.03.23
900,280,122,2022.03.29
901,1136,122,2022.02.10
902,1064,122,2022.03.23
903,1061,122,2022.02.10
904,309,122,2022.02.10
905,292,123,2022.02.10
906,1061,123,2021.12.25
907,309,123,2022.01.09
908,292,124,2022.07.19
909,292,125,2022.04.15
910,190,125,2022.04.15
911,144,126,2022.02.03
912,1050,126,2022.02.03
913,231,126,2020.07.18
914,202,126,2022.02.03
915,67,126,2020.07.18
916,70,126,2020.07.18
917,81,126,2022.02.03
918,144,127,2019.11.13
919,65,127,2019.11.13
920,153,128,2022.06.29
921,77,128,2022.06.29
922,153,129,2022.05.22
923,1169,129,2022.05.24
924,350,129,2022.02.21
925,145,129,2022.03.25
926,208,129,2022.01.21
927,87,129,2022.02.15
928,194,129,2022.01.21
929,93,129,2022.05.24
930,76,129,2022.01.21
931,153,130,2022.06.28
932,153,131,2020.02.04
933,77,131,2020.02.04
934,153,132,2021.12.29
935,1050,132,2022.02.11
936,87,132,2021.12.30
937,257,132,2021.12.29
938,257,132,2021.12.29
939,257,132,2021.12.29
940,194,132,2022.02.23
941,194,132,2021.12.31
942,194,132,2021.12.29
943,148,132,2021.12.30
944,76,132,2022.01.11
945,202,132,2022.02.11
946,77,132,2022.02.11
947,77,132,2021.12.30
948,325,132,2022.02.11
949,255,132,2022.01.10
950,70,132,2022.02.16
951,70,132,2022.02.11
952,70,132,2022.02.11
953,70,132,2022.02.09
954,70,132,2022.01.12
955,70,132,2022.01.11
956,70,132,2021.12.29
957,70,132,2021.10.16
958,66,132,2021.12.30
959,1092,132,2022.01.26
960,81,132,2022.02.11
961,81,132,2022.01.11
962,1123,132,2022.01.12
963,1115,132,2022.02.16
964,1115,132,2022.02.11
965,1115,132,2022.01.12
966,1098,132,2022.01.11
967,1061,132,2022.01.11
968,120,132,2022.02.11
969,193,132,2022.01.12
970,298,132,2022.02.11
971,224,132,2022.01.05
972,153,133,2022.06.21
973,153,133,2021.12.07
974,1051,133,2022.08.07
975,1051,133,2022.06.21
976,1050,133,2022.07.13
977,151,133,2020.10.23
978,208,133,2021.03.22
979,87,133,2021.09.07
980,257,133,2021.03.22
981,194,133,2021.12.27
982,194,133,2021.07.16
983,303,133,2022.06.21
984,148,133,2022.08.07
985,76,133,2021.09.07
986,314,133,2021.08.11
987,202,133,2021.07.10
988,77,133,2022.06.21
989,77,133,2021.12.27
990,70,133,2022.06.21
991,280,133,2022.06.21
992,1094,133,2022.04.11
993,1064,133,2022.08.07
994,1061,133,2021.12.27
995,190,133,2022.04.11
996,190,133,2022.04.11
997,309,133,2021.10.10
998,193,133,2022.04.11
999,97,133,2020.12.03
1000,222,133,2022.08.07
1001,224,133,2021.12.30
1002,96,133,2019.12.06
1003,153,134,2019.12.07
1004,304,134,2021.01.06
1005,93,134,2019.12.07
1006,281,134,2021.01.06
1007,76,134,2021.01.06
1008,324,134,2022.06.30
1009,70,134,2022.07.08
1010,115,134,2021.04.26
1011,330,134,2022.06.30
1012,309,134,2021.04.26
1013,309,134,2020.12.23
1014,153,135,2021.05.05
1015,77,135,2021.11.04
1016,70,135,2021.10.28
1017,153,136,2022.05.24
1018,1111,136,2022.05.24
1019,219,136,2022.05.24
1020,153,137,2022.07.22
1021,77,137,2022.07.22
1022,153,138,2022.05.31
1023,153,138,2022.05.26
1024,81,138,2022.05.26
1025,153,139,2022.07.08
1026,153,139,2022.07.08
1027,358,139,2022.07.08
1028,1064,139,2022.07.08
1029,224,139,2022.07.08
1030,153,140,2022.01.28
1031,208,140,2022.01.28
1032,93,140,2021.10.26
1033,93,140,2020.03.11
1034,148,140,2020.03.11
1035,202,140,2021.12.01
1036,202,140,2021.07.24
1037,77,140,2020.03.11
1038,280,140,2020.07.30
1039,1134,140,2022.03.26
1040,331,140,2022.06.04
1041,190,140,2020.03.11
1042,153,141,2021.11.26
1043,148,141,2022.07.26
1044,89,141,2022.07.22
1045,70,141,2022.07.26
1046,1105,141,2022.07.26
1047,1149,141,2022.07.22
